[2023-12-23T00:31:01,270] [DEBUG] c.e.t.FourTeamsController:333 Gift : TikTok Gift Toplam Miktari : 1
[2023-12-23T00:31:01,990] [DEBUG] c.e.t.FourTeamsController:333 Gift : GG Gift Toplam Miktari : 1
[2023-12-23T00:31:05,221] [DEBUG] c.e.t.FourTeamsController:333 Gift : Chestnuts Gift Toplam Miktari : 1
[2023-12-23T00:31:05,221] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:31:10,055] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 5
[2023-12-23T00:31:26,961] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:31:36,353] [DEBUG] c.e.t.FourTeamsController:175 Oynatılacak indexler : 0
[2023-12-23T00:31:39,905] [DEBUG] c.e.t.FourTeamsController:333 Gift : Nazar Gift Toplam Miktari : 5
[2023-12-23T00:31:39,905] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:31:43,884] [DEBUG] c.e.t.FourTeamsController:281 Takım Belgeseli başlıyor
[2023-12-23T00:33:16,965] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 2
[2023-12-23T00:33:27,603] [DEBUG] c.e.t.FourTeamsController:611 finishRace
[2023-12-23T00:33:27,642] [DEBUG] c.e.t.u.MediaPlayerUtils:66 getVideo
[2023-12-23T00:33:46,875] [DEBUG] c.e.t.FourTeamsController:333 Gift : Love you Gift Toplam Miktari : 1
[2023-12-23T00:33:46,875] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:34:30,485] [DEBUG] c.e.t.FourTeamsController:333 Gift : Love you Gift Toplam Miktari : 1
[2023-12-23T00:34:30,486] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:34:31,892] [DEBUG] c.e.t.RaceSettingsController:397 Yarışma Kapatma İsteği geldi
[2023-12-23T00:34:31,893] [DEBUG] c.e.t.FourTeamsController:549 Kapatma isteği
[2023-12-23T00:34:31,893] [DEBUG] c.e.t.GiftServer:70 addCloseMessageBlockingQueue
[2023-12-23T00:34:31,894] [DEBUG] c.e.t.FourTeamsController:315 ArrayListe close mesajı geldi
[2023-12-23T00:34:31,894] [DEBUG] c.e.t.FourTeamsController:511 While Döngüsünden cikis yapildi
[2023-12-23T00:34:32,060] [DEBUG] c.e.t.u.RunWSController:35 TiktokWS Kapatılıyor : 21144
[2023-12-23T00:34:32,293] [DEBUG] c.e.t.u.RunWSController:41 İşlem başarıyla sonlandırıldı.
[2023-12-23T00:34:34,887] [DEBUG] c.e.t.RaceSettingsController:281 Yarışma Başladı-startRaceAction
[2023-12-23T00:34:34,895] [DEBUG] c.e.t.u.XMLUtils:38 XML belgesi oluşturuldu.
[2023-12-23T00:34:34,897] [DEBUG] c.e.t.RaceSettingsController:373 4 takımlı yarışma başlatılıyor
[2023-12-23T00:34:34,898] [DEBUG] c.e.t.u.RunWSController:22 Tiktok ws socket başlatılıyor : yayın ismi batuhanberkeelma, port 8787
[2023-12-23T00:34:34,905] [DEBUG] c.e.t.u.RunWSController:29 Başlatılan İşlem PID: 22852
[2023-12-23T00:34:34,926] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:34:34,926] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:34:34,926] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:34:34,926] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:34:34,927] [DEBUG] c.e.t.FourTeamsController:116 4 takımlı yarış display
[2023-12-23T00:34:34,927] [DEBUG] c.e.t.FourTeamsController:260 editFolders
[2023-12-23T00:34:34,927] [DEBUG] c.e.t.Gift:62 Gift Listesi Parse Ediliyor
[2023-12-23T00:34:34,931] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:34:34,932] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:34:34,932] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:34:34,932] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:34:34,932] [DEBUG] c.e.t.FourTeamsController:212 editHBoxes
[2023-12-23T00:34:34,933] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:34:34,933] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:34,933] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/f59/f5902abbd13178017285a308606fd0dd/cf6a40558018965a8171cf5a575dd9de.png
[2023-12-23T00:34:35,059] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,060] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,060] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/688/688f0c350f9cd9751cb02659f4ab105e/2b2d66c2f9767fc8332ee1b5ba0c1057.png
[2023-12-23T00:34:35,082] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,082] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,082] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/440/4402267722e227b72adc97db92504b75/ae0f562146e701f32ae96761ac67c5cc.png
[2023-12-23T00:34:35,105] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,106] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,106] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/46d/46d0f497391a934d27d9b993f444d8b2/121af719b172eed61d8a75c1b1341c9d.png
[2023-12-23T00:34:35,133] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,134] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:34:35,134] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,134] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/232/232e2afc8e6c022c5c78df18cf196663/f2ba6300ef54121763648a60d465eef5.png
[2023-12-23T00:34:35,157] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,157] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,157] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/4e3/4e341b08230703a6f09ba3234c3fe717/3854ed8e881ebbe5208882602b30cf88.png
[2023-12-23T00:34:35,183] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,184] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,184] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/46d/46d0f497391a934d27d9b993f444d8b2/121af719b172eed61d8a75c1b1341c9d.png
[2023-12-23T00:34:35,207] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,208] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,208] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/0c4/0c446fb276fafbb0f0d5e3abfedf2510/f4bbea9d03b1453bd37d571282334f1b.png
[2023-12-23T00:34:35,235] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,235] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:34:35,235] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:34:35,235] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/50f/50f8e7cf26128a6e10d0b792019c1303/94aa2d574cfe6e3893c087cfb5a5efcd.png
[2023-12-23T00:34:35,262] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:34:35,262] [DEBUG] c.e.t.Gift:94 Linkten Resim
